batter,p1_10_runs,p1_10_balls,p1_10_dismissals,p1_10_sr,p1_10_dot_pct,p10_40_runs,p10_40_balls,p10_40_dismissals,p10_40_sr,p10_40_dot_pct,p40plus_runs,p40plus_balls,p40plus_dismissals,p40plus_sr,p40plus_dot_pct,pp_runs,pp_balls,pp_dismissals,pp_sr,pp_dot_pct,mid_runs,mid_balls,mid_dismissals,mid_sr,mid_dot_pct,death_runs,death_balls,death_dismissals,death_sr,death_dot_pct
MM Sharma,121,124,13,78.86066667,55.64333333,4,12,4,25,81.25,,,,,,,,,,,36,47,4,112.9942857,52.31285714,89,89,13,77.29,55.50307692
V Kohli,2967,2451,61,115.4026545,47.91534545,5238,3871,126,124.9318182,38.0338756,1141,608,42,161.5263077,34.46,3487,2688,75,115.2808889,50.15484444,4286,3407,94,116.7960417,34.65828125,1573,835,60,161.68,33.228125
SN Thakur,274,214,21,114.3488372,49.69325581,75,49,7,115.547,63.465,,,,,,0,4,1,0,100,116,90,5,140.3763636,54.19363636,233,169,22,123.07,45.95081081
RD Chahar,96,104,14,73.96136364,64.35045455,33,20,1,150,47.62,,,,,,,,,,,4,16,2,40,65,125,108,13,87.34,59.957
C de Grandhomme,188,139,8,108.5485714,47.10285714,115,86,6,130.6957143,35.14714286,,,,,,1,2,1,50,50,142,110,7,96.316,50.342,160,113,6,121.26,41.41615385
Bipul Sharma,143,104,4,126.7229412,29.97176471,44,19,2,231.945,22.22166667,,,,,,,,,,,15,14,1,76.66666667,40,172,109,5,141.65,27.256875
SS Iyer,1428,1254,48,108.9478472,49.60013889,2604,1734,62,137.4108511,35.45223404,201,107,8,202.5386667,37.43066667,1036,912,34,111.2842157,54.04745098,2377,1740,56,119.8161468,36.25018349,820,443,28,169.12,37.41884615
EJG Morgan,596,605,29,91.69405405,54.37378378,788,529,28,134.3845238,40.04238095,22,14,2,184.845,34.845,176,192,8,78.31227273,67.09772727,714,642,26,102.7339623,46.29528302,516,314,25,135.92,42.24692308
Ishan Kishan,1317,1080,34,110.0571654,54.96724409,2105,1354,73,137.4304444,38.87177778,178,74,8,200.48,27.87666667,1524,1103,34,115.6553684,55.48989474,1660,1185,59,119.3077273,37.68113636,416,220,22,166.12,38.26896552
JD Unadkat,173,146,9,118.5935714,41.11678571,28,23,4,84.88,59.762,,,,,,,,,,,23,28,1,71.31,51.54714286,178,141,12,122.86,37.53259259
AD Mathews,340,320,11,103.3960976,42.09146341,363,241,16,145.4345833,30.21375,21,14,1,156.25,50,10,17,0,53.75,74.375,289,282,9,86.42148148,43.22777778,425,276,19,155.06,30.83387097
Mohammed Shami,114,109,19,82.20558824,57.17323529,1,2,0,50,50,,,,,,,,,,,16,15,4,85,56.666,99,96,15,81.06,56.463
Mohammad Nabi,176,127,11,132.0152632,44.40526316,45,25,5,146.286,55.192,,,,,,26,15,1,226.925,44.23,66,50,4,127.26125,29.43125,129,87,11,122.77,56.74357143
RA Jadeja,1997,1618,57,122.596439,40.134,1518,1072,61,145.9132727,34.40590909,11,9,1,117.5,12.5,157,109,4,134.2038889,50.75055556,1447,1310,35,106.7214173,39.50559055,1922,1280,80,137.82,36.3514375
KS Williamson,684,690,19,97.17618421,48.28526316,1317,932,31,132.4315385,35.78211538,131,75,8,159.6438462,30.80076923,483,480,13,98.43673913,56.73152174,1189,940,29,107.2144828,38.84275862,460,277,16,156.77,24.63129032
