batter,league_matches,league_runs,league_balls,league_dismissals,league_sr,league_avg,knockout_matches,knockout_runs,knockout_balls,knockout_dismissals,knockout_sr,knockout_avg
Azmatullah Omarzai,9,132,87,8,151.72,16.5,2.0,19.0,14.0,2.0,135.71,9.5
B Chipli,21,280,251,15,111.55,18.67,,,,,,
B Kumar,68,339,354,32,95.76,10.59,7.0,15.0,23.0,3.0,65.22,5.0
B Lee,18,122,94,9,129.79,13.56,1.0,2.0,3.0,0.0,66.67,
B Sai Sudharsan,51,2212,1506,45,146.88,49.16,6.0,303.0,180.0,6.0,168.33,50.5
BA Stokes,43,935,698,38,133.95,24.61,,,,,,
BB McCullum,104,2793,2094,97,133.38,28.79,5.0,89.0,96.0,5.0,92.71,17.8
BB Samantray,7,111,102,4,108.82,27.75,1.0,14.0,11.0,1.0,127.27,14.0
BCJ Cutting,14,191,118,8,161.86,23.88,3.0,47.0,23.0,2.0,204.35,23.5
BJ Hodge,61,1327,1069,41,124.13,32.37,2.0,73.0,49.0,0.0,148.98,
BJ Rohrer,8,193,141,7,136.88,27.57,,,,,,
Bipul Sharma,13,139,100,5,139.0,27.8,4.0,48.0,23.0,1.0,208.7,48.0
C Connolly,13,491,301,11,163.12,44.64,,,,,,
C Green,39,931,617,23,150.89,40.48,3.0,98.0,64.0,3.0,153.12,32.67
C Munro,8,120,87,7,137.93,17.14,3.0,57.0,54.0,2.0,105.56,28.5
C de Grandhomme,20,303,224,13,135.27,23.31,1.0,0.0,1.0,1.0,0.0,0.0
CA Ingram,15,205,180,12,113.89,17.08,,,,,,
CA Lynn,38,1253,882,34,142.06,36.85,4.0,76.0,63.0,4.0,120.63,19.0
CA Pujara,22,390,391,18,99.74,21.67,,,,,,
CH Gayle,134,4747,3168,118,149.84,40.23,7.0,250.0,178.0,7.0,140.45,35.71
CH Morris,47,618,394,26,156.85,23.77,2.0,0.0,4.0,2.0,0.0,0.0
CJ Anderson,28,518,413,21,125.42,24.67,1.0,20.0,10.0,1.0,200.0,20.0
CL White,44,940,732,33,128.42,28.48,1.0,31.0,28.0,1.0,110.71,31.0
CM Gautam,13,169,150,9,112.67,18.78,,,,,,
CR Brathwaite,11,109,67,11,162.69,9.91,3.0,72.0,44.0,2.0,163.64,36.0
D Brevis,24,606,415,24,146.02,25.25,,,,,,
D Ferreira,14,276,171,11,161.4,25.09,2.0,50.0,20.0,1.0,250.0,50.0
D Padikkal,82,2178,1616,77,134.78,28.29,7.0,92.0,89.0,7.0,103.37,13.14
D Wiese,10,136,94,4,144.68,34.0,1.0,12.0,7.0,1.0,171.43,12.0
DA Miller,137,3137,2263,88,138.62,35.65,6.0,151.0,95.0,2.0,158.95,75.5
DA Warner,175,6311,4509,150,139.96,42.07,9.0,256.0,193.0,8.0,132.64,32.0
DB Das,22,304,261,12,116.48,25.33,,,,,,
DB Ravi Teja,25,375,317,19,118.3,19.74,,,,,,
DH Yagnik,15,139,116,8,119.83,17.38,2.0,31.0,21.0,1.0,147.62,31.0
DJ Bravo,98,1394,1096,61,127.19,22.85,12.0,166.0,108.0,7.0,153.7,23.71
DJ Hooda,92,1372,1065,72,128.83,19.06,9.0,125.0,108.0,7.0,115.74,17.86
DJ Hussey,59,1281,1043,45,122.82,28.47,2.0,41.0,32.0,1.0,128.12,41.0
DJ Mitchell,15,351,267,13,131.46,27.0,,,,,,
DJG Sammy,19,266,220,14,120.91,19.0,1.0,29.0,21.0,1.0,138.1,29.0
DJM Short,7,115,99,7,116.16,16.43,,,,,,
DL Chahar,19,132,97,9,136.08,14.67,1.0,10.0,6.0,1.0,166.67,10.0
DL Vettori,15,121,112,6,108.04,20.17,1.0,0.0,1.0,1.0,0.0,0.0
DP Conway,26,993,714,22,139.08,45.14,2.0,87.0,59.0,2.0,147.46,43.5
DPMD Jayawardene,75,1705,1383,56,123.28,30.45,3.0,103.0,81.0,3.0,127.16,34.33
DR Smith,77,2034,1527,69,133.2,29.48,11.0,351.0,237.0,11.0,148.1,31.91
DS Kulkarni,16,78,88,6,88.64,13.0,4.0,26.0,20.0,2.0,130.0,13.0
DT Christian,39,447,388,27,115.21,16.56,2.0,13.0,10.0,0.0,130.0,
DW Steyn,31,158,153,19,103.27,8.32,2.0,9.0,7.0,1.0,128.57,9.0
Dhruv Jurel,47,1074,705,34,152.34,31.59,4.0,121.0,70.0,2.0,172.86,60.5
E Lewis,25,652,471,24,138.43,27.17,1.0,2.0,6.0,0.0,33.33,
EJG Morgan,71,1397,1130,57,123.63,24.51,3.0,9.0,18.0,2.0,50.0,4.5
F du Plessis,132,4383,3216,114,136.29,38.45,15.0,390.0,299.0,14.0,130.43,27.86
FH Allen,11,349,163,10,214.11,34.9,,,,,,
FY Fazal,11,183,173,9,105.78,20.33,,,,,,
G Gambhir,141,4072,3274,120,124.37,33.93,10.0,145.0,130.0,8.0,111.54,18.12
GC Smith,28,714,647,25,110.36,28.56,1.0,25.0,21.0,1.0,119.05,25.0
GD Phillips,13,132,109,11,121.1,12.0,,,,,,
GH Vihari,22,283,313,18,90.42,15.72,1.0,1.0,8.0,1.0,12.5,1.0
GJ Bailey,33,635,523,23,121.41,27.61,3.0,28.0,21.0,3.0,133.33,9.33
